,type_of_company,company_name,company_url
0,Alcoholic Beverages companies,United Spirits,https://www.screener.in/company/MCDOWELL-N
1,Alcoholic Beverages companies,United Breweries,https://www.screener.in/company/UBL
2,Alcoholic Beverages companies,Radico Khaitan,https://www.screener.in/company/RADICO
3,Alcoholic Beverages companies,Tilaknagar Inds.,https://www.screener.in/company/TI
4,Alcoholic Beverages companies,Sula Vineyards,https://www.screener.in/company/SULA
5,Alcoholic Beverages companies,Piccadily Agro,https://www.screener.in/company/530305
6,Alcoholic Beverages companies,Globus Spirits,https://www.screener.in/company/GLOBUSSPR
7,Alcoholic Beverages companies,India Glycols,https://www.screener.in/company/INDIAGLYCO
8,Alcoholic Beverages companies,Som Distilleries,https://www.screener.in/company/SDBL
9,Alcoholic Beverages companies,G M Breweries,https://www.screener.in/company/GMBREW
10,Alcoholic Beverages companies,Jagatjit Inds.,https://www.screener.in/company/507155
11,Alcoholic Beverages companies,Assoc.Alcohols,https://www.screener.in/company/ASALCBR
12,Alcoholic Beverages companies,IFB Agro Inds.,https://www.screener.in/company/IFBAGRO
13,Alcoholic Beverages companies,Khoday India,https://www.screener.in/company/507435
14,Alcoholic Beverages companies,Comfort Intech,https://www.screener.in/company/531216
15,Alcoholic Beverages companies,Aurangabad Dist.,https://www.screener.in/company/AURDIS
16,Alcoholic Beverages companies,Shri Gang Indus,https://www.screener.in/company/523309
17,Alcoholic Beverages companies,Piccadily Sugar,https://www.screener.in/company/507498
18,Alcoholic Beverages companies,Ravikumar Distll,https://www.screener.in/company/RKDL
19,Alcoholic Beverages companies,Winsome Brew.,https://www.screener.in/company/526471
20,Alcoholic Beverages companies,Silver Oak (I),https://www.screener.in/company/531635
21,Auto Ancillaries companies,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON
22,Auto Ancillaries companies,Tube Investments,https://www.screener.in/company/TIINDIA
23,Auto Ancillaries companies,Bosch,https://www.screener.in/company/BOSCHLTD
24,Auto Ancillaries companies,Uno Minda,https://www.screener.in/company/UNOMINDA
25,Auto Ancillaries companies,Sona BLW Precis.,https://www.screener.in/company/SONACOMS
26,Auto Ancillaries companies,ZF Commercial,https://www.screener.in/company/ZFCVINDIA
27,Auto Ancillaries companies,Motherson Wiring,https://www.screener.in/company/MSUMI
28,Auto Ancillaries companies,Endurance Tech.,https://www.screener.in/company/ENDURANCE
29,Auto Ancillaries companies,Exide Inds.,https://www.screener.in/company/EXIDEIND
30,Auto Ancillaries companies,Sundram Fasten.,https://www.screener.in/company/SUNDRMFAST
31,Auto Ancillaries companies,JBM Auto,https://www.screener.in/company/JBMA
32,Auto Ancillaries companies,Amara Raja Ener.,https://www.screener.in/company/ARE&M
33,Auto Ancillaries companies,Craftsman Auto,https://www.screener.in/company/CRAFTSMAN
